dropout_rate,matched_noise_std,performance_level,in_valid_range,model,prompt_turns,experiment.sentences_file,dropout_se,sentence_label
0.07,0.04570921106452415,-1.5143873195648194,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.05046992138814866,11tok
0.09,0.05254041812332781,-1.48307808303833,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04974755948688106,11tok
0.11,0.059039735696019904,-1.4489564723968507,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04913147205538567,11tok
0.13,0.0664069418603518,-1.4058925685882568,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.048489402583580005,11tok
0.15,0.07251200155944669,-1.3669874095916748,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04756302045929313,11tok
0.17,0.07816046104453661,-1.33005788230896,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.046917017501978166,11tok
0.19,0.08417420105675202,-1.2899572525024414,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.046257879189158344,11tok
0.21,0.09136035306270567,-1.2419341735839844,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04495416136062702,11tok
0.23,0.10030809336917354,-1.1819653511047363,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04355842667879251,11tok
0.25,0.10895214480273263,-1.1223707695007323,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04204307061605454,11tok
0.27,0.12002430524273472,-1.0528997955322266,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.04065567537993104,11tok
0.29,0.1304889878384643,-0.9886816577911377,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03908446864390732,11tok
0.31,0.1413044423704867,-0.9204751644134521,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03731296854358517,11tok
0.33,0.14970648881442128,-0.8670298900604249,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03631256500114389,11tok
0.35,0.15992064577803228,-0.808591453552246,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03515004458345532,11tok
0.37,0.16846545282719924,-0.7618770389556885,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03456452426426972,11tok
0.39,0.1817191992159219,-0.6983255023956298,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.03245398698299864,11tok
0.41,0.1958995422806954,-0.6451980018615723,True,olmo3_32b,localization_introspective_prefilled_2_letters,data/sentences/11tok.txt,0.030920062740617503,11tok
